0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Zr:1678.3,Ti:1248.5,Nb:632.0,Mo:476.7,Mo:470.3,V_:442.2,Pt:337.7,Pt:308.2,Fe:286.6,S :277.2,K_:251.3,W_:192.1,,,,,,,,,
Nb:974.5,Cr:954.2,W_:871.5,Zr:686.5,V_:434.4,S :288.2,Co:184.4,Co:174.2,,,,,,,,,,,,,
Cr:2021.6,Ti:979.7,S :512.1,V_:403.6,Ta:353.5,,,,,,,,,,,,,,,,
Fe:1934.7,Nb:1845.2,C_:1206.5,Zr:1076.5,Cr:782.4,V_:401.1,,,,,,,,,,,,,,,
W_:1731.7,Pb:1572.5,Co:1485.1,Ti:570.4,V_:399.1,K_:176.2,Ta:171.7,,,,,,,,,,,,,,
Zr:634.3,S :537.2,Ta:464.6,V_:395.1,P :259.9,Ti:250.3,,,,,,,,,,,,,,,
Nb:4808.4,Ti:414.8,C_:408.6,V_:394.4,W_:391.6,,,,,,,,,,,,,,,,
Mo:8248.6,Pt:7078.4,Fe:2394.0,Pd:1812.2,Sn:1774.6,Nb:1613.0,V_:394.0,Ta:178.7,,,,,,,,,,,,,
Nb:4219.0,Pb:2802.1,Ca:1983.2,Ni:1028.1,Ta:529.8,V_:389.4,Zr:290.0,Ta:253.8,,,,,,,,,,,,,
Mo:2163.7,Cr:2021.6,Pt:1703.3,Zr:724.3,S :512.1,Ta:433.1,V_:374.3,Ta:353.5,,,,,,,,,,,,,
Nb:656.7,V_:362.9,Ca:336.1,W_:270.7,Ni:249.9,,,,,,,,,,,,,,,,
Nb:4808.4,Cr:1022.6,W_:854.6,Zr:694.8,V_:360.4,S :352.0,Ta:335.3,K_:253.5,P :202.8,,,,,,,,,,,,
Ge:1221.3,Nb:478.1,Mo:428.7,Cu:372.9,Zr:371.0,V_:360.3,Zr:358.2,Pt:327.5,Ta:176.2,Ni:159.5,,,,,,,,,,,
Ti:1973.1,Fe:621.4,Nb:470.8,W_:378.3,V_:360.0,Pt:244.9,Ca:195.5,,,,,,,,,,,,,,
Nb:2494.8,W_:2483.5,W_:1162.9,Fe:1057.8,Ti:1037.0,K_:1009.6,Mo:753.8,Zr:614.7,Pt:589.3,V_:356.2,P :281.5,S :247.0,Ta:160.9,Ta:159.8,,,,,,,
Nb:3033.3,Mo:1269.1,Pt:779.3,V_:354.1,Zr:279.2,Co:224.5,W_:169.4,Ti:162.3,,,,,,,,,,,,,
Nb:3123.2,W_:773.4,Fe:769.6,Zr:720.3,V_:353.6,C_:335.8,Ti:227.6,S :196.6,,,,,,,,,,,,,
W_:773.4,Zr:720.3,Nb:581.8,V_:352.6,Ti:227.6,S :196.6,Mo:157.1,,,,,,,,,,,,,,
Co:3406.7,Ni:3238.7,Fe:2427.5,Pd:2319.9,Pb:1918.9,W_:894.4,Mo:587.2,Ta:508.1,V_:343.6,Pt:320.2,S :163.8,,,,,,,,,,
W_:515.0,V_:337.4,Mo:265.5,Pt:224.3,Zr:192.0,Ni:183.9,,,,,,,,,,,,,,,
Ta:1324.6,Cr:757.0,Nb:755.1,Co:690.7,S :624.9,V_:336.4,In:221.3,,,,,,,,,,,,,,
Nb:621.2,Ta:417.0,V_:335.5,Ti:280.1,Zn:165.3,K_:165.2,,,,,,,,,,,,,,,
In:3103.2,W_:1483.2,Ti:1226.1,V_:332.3,,,,,,,,,,,,,,,,,
Cr:4382.7,Nb:3180.9,W_:1556.5,Ti:1240.5,Pt:375.9,V_:328.3,S :183.0,,,,,,,,,,,,,,
Pb:2050.9,Nb:1705.0,Cr:1674.7,Ta:1065.6,Mo:810.3,W_:722.4,Fe:373.6,V_:328.1,Ni:232.2,Co:212.7,Zr:162.2,,,,,,,,,,
Zr:3179.9,Nb:2606.7,Mo:1302.9,Pt:844.2,Ta:822.1,V_:320.8,Ge:260.1,W_:239.8,Ni:172.4,,,,,,,,,,,,
Nb:2030.8,Ti:1289.6,Mo:850.5,Pt:713.3,Ta:438.4,V_:319.0,Au:206.4,C_:181.3,,,,,,,,,,,,,
Ni:6615.1,Zn:4208.7,Sb:3772.3,In:3257.2,Cd:2506.1,Sn:2187.6,Pt:1208.4,Ge:1161.3,Al:1087.0,Bi:964.9,C_:890.6,Cr:667.5,Cu:604.6,Fe:580.1,Ag:403.4,Ta:372.2,Pb:351.5,Ta:346.1,Au:325.5,Zr:316.5,V_:308.1
Au:1247.8,Nb:839.4,Ta:447.0,Zr:445.1,V_:300.5,,,,,,,,,,,,,,,,
Nb:2197.4,W_:1581.3,Fe:584.4,Zr:573.7,S :439.1,P :354.1,K_:339.1,V_:297.1,Mo:271.0,Pt:229.6,,,,,,,,,,,
Ti:1270.6,Ta:475.8,Ta:404.9,V_:295.8,S :284.4,Zr:260.5,Nb:253.1,Zr:206.0,In:179.9,,,,,,,,,,,,
Ta:1567.6,Cr:992.0,Nb:608.8,S :427.8,V_:294.5,Fe:282.0,P :166.8,,,,,,,,,,,,,,
Mo:2039.4,Nb:1348.1,Pt:1191.3,Ni:602.6,Cr:457.3,V_:293.3,Ta:229.3,Pd:185.3,S :176.3,,,,,,,,,,,,
Nb:3310.2,Zr:1740.4,Cr:918.4,W_:430.5,Ta:324.3,V_:291.6,,,,,,,,,,,,,,,
Nb:1348.1,Pt:1191.3,Zr:1041.0,Co:801.5,Ni:602.6,V_:291.2,W_:266.2,S :266.1,Pd:167.8,,,,,,,,,,,,
Ni:4450.0,Pd:2876.4,Nb:669.0,V_:284.4,W_:172.9,,,,,,,,,,,,,,,,
Ta:1672.8,Zr:287.7,V_:283.1,,,,,,,,,,,,,,,,,,
Ag:1950.1,Cu:441.2,V_:281.8,Nb:218.9,,,,,,,,,,,,,,,,,
K_:712.9,Cu:462.1,Zr:308.7,V_:280.4,Nb:164.8,Fe:156.7,,,,,,,,,,,,,,,
Nb:1390.8,Co:760.1,Zr:479.9,Fe:282.8,V_:279.6,Au:201.7,,,,,,,,,,,,,,,
Mo:949.5,Pt:599.5,W_:375.4,V_:279.3,Ta:204.8,C_:164.7,,,,,,,,,,,,,,,
