0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
V_:3672.9,Nb:3080.0,Mo:2393.9,Pt:1904.0,Ti:1786.7,Nb:1564.6,Cr:1006.1,Ta:951.7,Zr:639.1,W_:591.1,Ni:474.8,,,,
Au:2490.7,Fe:1137.0,Nb:801.7,K_:771.7,W_:584.0,V_:454.4,C_:453.9,C_:439.8,Zr:360.0,Ta:302.4,,,,,
V_:2204.7,Zr:917.9,W_:580.3,Ti:499.9,S :246.3,S :207.4,,,,,,,,,
Nb:2045.6,Mo:1499.5,Pt:903.2,W_:571.9,Ta:324.5,,,,,,,,,,
V_:3136.7,Fe:1667.9,K_:1064.8,Mo:997.2,Zr:599.2,W_:571.1,Pt:545.8,S :538.0,In:184.2,P :160.8,,,,,
Ca:3966.4,Nb:3080.0,Mo:2393.9,Pt:1904.0,Ti:1786.7,Zr:639.1,W_:559.2,Ta:351.2,K_:222.7,,,,,,
Nb:4089.0,Ti:3040.0,W_:551.4,Ta:501.6,Fe:259.3,Mo:179.0,,,,,,,,,
Nb:2354.1,W_:549.3,Ta:481.4,Zr:262.7,Pt:260.8,C_:251.4,,,,,,,,,
V_:2137.3,V_:1762.0,Cr:1342.8,W_:542.8,Ca:201.5,S :183.8,P :166.2,,,,,,,,
W_:540.0,Cr:369.9,Ta:309.4,Ti:194.3,Zr:194.2,S :155.3,,,,,,,,,
Ta:2446.6,Cr:1895.9,V_:798.3,Co:721.2,W_:536.2,Mo:508.7,Pt:506.9,Fe:456.0,Nb:356.1,S :318.4,Zr:251.5,K_:172.2,In:165.9,,
Nb:2803.4,Zr:1996.1,V_:933.4,Cr:820.2,W_:534.0,Ta:362.9,Ta:210.2,S :166.4,,,,,,,
Co:2508.2,W_:529.6,Fe:513.3,Nb:466.1,Ta:465.9,Pb:325.3,Au:313.2,Zr:288.0,,,,,,,
Mo:4705.4,Pt:3596.8,V_:2151.1,W_:520.9,S :383.8,K_:224.7,Cr:203.7,P :184.1,Au:153.3,,,,,,
Fe:3564.7,Cr:2236.7,Mo:723.9,Co:611.9,S :600.7,W_:518.2,V_:497.1,Pt:398.5,Nb:395.0,K_:315.0,P :271.2,Zr:230.5,Ni:167.6,,
Ca:3073.2,W_:515.0,Ta:449.9,V_:337.4,Nb:224.6,Zr:192.0,Ni:183.9,,,,,,,,
Ni:5399.1,Fe:630.9,W_:514.9,Nb:225.2,,,,,,,,,,,
Mo:1606.3,Pt:979.6,Ti:977.5,Fe:679.8,W_:509.0,Ta:345.3,S :253.1,V_:227.3,P :167.6,,,,,,
Nb:2893.5,Ta:625.0,W_:508.1,K_:337.1,C_:188.4,Mo:164.1,,,,,,,,,
Cu:1509.9,Zr:706.1,W_:501.4,V_:442.3,C_:345.5,Ta:209.7,S :170.1,,,,,,,,
Cr:3982.8,V_:1772.0,Nb:638.1,W_:494.3,Mo:362.9,Pt:347.1,Au:258.6,Ca:226.3,Ca:214.7,Au:158.7,,,,,
V_:2148.4,S :933.8,W_:494.1,Zr:394.7,Fe:270.1,Ti:216.5,Cr:156.0,,,,,,,,
V_:1568.9,Ca:1446.2,Ti:1314.0,Mo:1294.2,Mo:1003.1,Pt:1003.0,Nb:840.8,Cr:709.5,Pt:650.4,W_:491.5,Ta:374.8,K_:162.7,S :158.5,P :150.7,
Zr:1413.4,Nb:892.5,W_:476.5,C_:466.5,Ta:268.7,S :254.4,Cr:219.4,,,,,,,,
Ti:1498.9,Mo:1479.3,Pt:1282.1,Ta:887.9,P :742.6,W_:471.3,Zr:469.5,,,,,,,,
Mo:1438.4,Zr:1131.0,Pt:905.1,Cr:887.2,V_:476.3,W_:471.2,Nb:378.1,Ta:364.3,S :235.9,,,,,,
Ni:1241.1,Mo:877.3,Pt:585.6,Zr:510.5,W_:466.2,Sb:234.0,Au:169.5,Co:159.1,,,,,,,
Cr:2048.0,Zr:1713.9,V_:761.6,Ni:695.3,Nb:557.5,W_:463.1,S :409.0,Ta:392.6,S :306.3,Pd:291.3,Cd:261.1,P :205.9,P :199.8,Ta:167.8,
V_:2732.3,Cr:1580.6,Nb:1461.8,W_:461.9,Zr:337.5,K_:283.1,Ti:279.4,S :181.3,Au:166.2,,,,,,
W_:461.6,Ta:233.9,Mo:163.5,,,,,,,,,,,,
W_:459.7,Mo:354.5,Pt:337.6,Co:193.9,,,,,,,,,,,
Nb:726.2,Cr:471.1,W_:456.5,,,,,,,,,,,,
Mo:1887.1,Co:1405.9,Pt:1335.8,Zr:641.1,W_:451.6,,,,,,,,,,
Zr:1360.2,Mo:1130.2,Pt:584.0,Ti:510.5,W_:451.1,S :370.5,Ta:263.9,S :229.7,Ag:216.8,Au:174.7,Ni:164.1,,,,
Nb:1912.0,Ta:1568.1,Cr:831.1,W_:441.2,Co:363.9,Zr:285.0,,,,,,,,,
Ti:1730.8,Mo:1417.8,Pt:1130.0,Nb:469.0,W_:441.1,Zr:380.9,S :304.6,S :274.0,V_:214.8,K_:191.6,P :190.4,V_:183.0,,,
Nb:3806.6,Ta:1646.2,Ti:1449.0,Zr:692.0,W_:440.1,Ag:291.4,S :282.4,C_:218.4,K_:154.2,P :152.1,,,,,
W_:430.8,,,,,,,,,,,,,,
Nb:3310.2,Zr:1740.4,Cr:918.4,W_:430.5,Ta:324.3,V_:291.6,,,,,,,,,
W_:429.6,Ti:340.1,Cr:196.5,S :194.8,Ta:190.2,,,,,,,,,,
Nb:595.7,Cr:557.4,W_:429.1,Ti:406.7,S :277.6,,,,,,,,,,
Mo:3351.6,Pt:2717.2,V_:1411.2,Ta:1162.8,Pd:529.2,W_:428.4,S :358.5,Ti:285.0,P :158.2,Au:150.7,K_:150.5,,,,
W_:423.4,Ta:189.2,,,,,,,,,,,,,
Ta:702.8,Nb:471.3,W_:420.9,Mo:233.9,S :162.6,,,,,,,,,,
